Марка;Описание;Цена;Город;Ссылка;Тип топлива
Mercedes-Benz GLE-Class 2019;Mercedes-AMG 63S 9G-TCT (612 л.с.) 4Matic;122 545 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1833779.html;Бензин/Электричество
Mercedes-Benz C-Class 2019;base 160 G-Tronic (129 л.с.);32 020 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1661878.html;Бензин
Mercedes-Benz E-Class 2019;All-Terrain 400d 9G-Tronic (340 л.с.) 4Matic;64 639 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1836617.html;Дизтопливо
Mercedes-Benz C-Class 2019;base C 200 MT (184 л.с.);37 655 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669788.html;Бензин
Mercedes-Benz S-Class 2019;S 400d AT (340 л.с.) Long;92 756 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1693540.html;Дизтопливо
Mercedes-Benz CLA-Class 2019;base 220d АТ (190 л.с.);41 392 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1807133.html;Дизтопливо
Mercedes-Benz S-Class 2019;Mercedes-AMG S 63 AT (612 л.с.) 4Matic Long;152 388 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1785555.html;Бензин
Mercedes-Benz CLA-Class 2019;45 AMG AT (387 л.с.) 4Matic+;60 409 $;Луцк;https://auto.ria.com/newauto/auto-mercedes-benz-cla-class-1826332.html;Бензин
Mercedes-Benz GLS-Class 2019;base 350d AT (286 л.с.) 4Matic;94 196 $;Ужгород;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1832293.html;Дизтопливо
Mercedes-Benz V-Class 2019;AVG V 220d AT (163 л.с.) Long;57 731 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1756959.html;Дизтопливо
Mercedes-Benz C-Class 2019;base 220d G-Tronic (194 л.с.);39 838 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-c-class-1669798.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 400d AT (340 л.с.) 4Matic;58 556 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670018.html;Дизтопливо
Mercedes-Benz A-Class 2019;180d AT (116 л.с.);34 454 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-a-class-1669712.html;Дизтопливо
Mercedes-Benz E-Class 2019;New E 220d AT (194 л.с.);45 422 $;Харьков;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1670009.html;Дизтопливо
